,parameter,units,value,error,error_lower
0,period,days,3.7701469192649900,9.85190549593895E-05,-9.50741211469541E-05
1,t0,days,1843.6574043083000,0.00040307101357939200,-0.00040420365303361900
2,ror,rstar,0.06215239534086690,0.0020519634640480700,-0.0015292832495853000
3,rhocirc,g/cc,1.31665599067232,0.2712863423433100,-0.34103761689486100
4,b,,0.37900972220706300,0.17360918832952100,-0.23452291713470500
5,mean,,0.00015700850612885000,3.16581820394515E-05,-3.0877652942377E-05
6,u1,,0.7286232298588160,0.15766077873801,-0.1968079510949570
7,u2,,-0.17013543443295800,0.3448019461301470,-0.2070867566680140
8,dur,days,0.11149242000355900,0.0014953273018975900,-0.0012375059929503100
9,ecc,,0.17178217821782200,0.2794059405940590,-0.08287128712871290
10,omega,,4.61976364808723,1.02103790748582,-0.81754989623727
11,rad_pl,rearth,5.4378526666330300,0.1832394434367220,
12,rad_st,rsun,0.802123806,0.014018145,
13,mass_st,msun,0.833916881,0.032539013,
14,rho_star,g/cc,2.2611723668871000,0.17804707173250900,
